PERSON_ID,TYPE,NAME,GENDER,BIRTH_DATE,CITY,STATE,HIRE_DATE,SALARY,STATUS,TITLE,RATING,BONUS,SIM_DEPT_DEPT_ID,SIM_DEPT_DEPT_ID1
1,Project Person,Cassie,F,10/01/1990,Austin,TX,,30000,,,,,100,
2,Project Person,Anna,F,02/02/1986,Austin,TX,,35000,,,,,100,
3,Project Person,Becky,F,04/02/1987,Austin,TX,,60000,,,,,100,
4,Project Person,Diana,F,08/05/1981,Seattle,WA,,90000,,,,,120,
5,Project Person,Eleanor,F,12/08/1988,Seattle,WA,,44000,,,,,120,
6,Project Person,Fiona,F,10/10/1992,Austin,TX,,33000,,,,,100,
7,Project Person,Gabriella,F,11/01/1990,Palo Alto,CA,,95000,,,,,102,
8,Project Person,Helen,F,05/02/1978,San Francisco,CA,,110000,,,,,102,
9,Project Person,Isabella,F,25/12/1991,Seattle,WA,,38000,,,,,120,
10,Project Person,Julia,F,06/06/1975,Houston,TX,,45000,,,,,100,
11,Project Person,Kate,F,07/07/1977,Houston,TX,,61000,,,,,100,
12,Project Person,Laura,F,05/03/1992,Portland,OR,,80000,,,,,101,
13,Project Person,Mary,F,04/04/1989,Palo Alto,CA,,120000,,,,,102,
14,Project Person,Nicole,F,02/06/1991,Palo Alto,CA,,121000,,,,,102,
15,Project Person,Olivia,F,02/05/1985,San Francisco,CA,,92000,,,,,102,
16,Project Person,Paula,F,15/08/1983,Houston,TX,,70000,,,,,100,
17,Project Person,Quinn,F,19/04/1974,Houston,TX,,32000,,,,,100,
18,Project Person,Rachel,F,10/10/1990,Seattle,WA,,90000,,,,,120,
19,Project Person,Samantha,F,03/11/1968,Portland,OR,,63000,,,,,101,
20,Project Person,Taylor,F,29/09/1994,Portland,OR,,28000,,,,,101,
21,Project Person,Ursula,F,18/09/1985,Portland,OR,,45000,,,,,101,
22,Project Person,Valerie,F,03/11/1979,Seattle,WA,,76000,,,,,120,
23,Project Person,Wendy,F,14/01/1995,Seattle,WA,,36000,,,,,120,
24,Project Person,Zoe,F,21/06/1986,Austin,TX,,77000,,,,,100,
25,Project Person,Adam,M,14/06/1985,Austin,TX,,99000,,,,,100,
26,Project Person,Brandon,M,16/03/1981,Austin,TX,,64000,,,,,100,
27,Project Person,Carl,M,10/01/1990,Seattle,WA,,80000,,,,,120,
28,Project Person,David,M,04/04/1986,Portland,OR,,131000,,,,,101,
29,Project Person,Eric,M,01/05/1990,Seattle,WA,,40000,,,,,120,
30,Project Person,Fred,M,14/02/1976,Houston,TX,,112000,,,,,100,
31,Project Person,Greg,M,20/09/1984,San Francisco,CA,,63000,,,,,102,
32,Project Person,Howard,M,11/11/1970,Houston,TX,,128000,,,,,100,
33,Project Person,Jared,M,26/05/1989,Palo Alto,CA,,41000,,,,,101,
34,Project Person,Kenny,M,02/01/1987,Palo Alto,CA,,43000,,,,,101,
35,Project Person,Ian,M,03/12/1995,Houston,TX,,28000,,,,,100,
36,Project Person,Luke,M,19/09/1991,Austin,TX,,51000,,,,,100,
37,Project Person,Max,M,23/07/1988,Austin,TX,,54000,,,,,100,
38,Project Person,Nathan,M,01/06/1982,Austin,TX,,71000,,,,,100,
39,Project Person,Owen,M,17/03/1980,Portland,OR,,78000,,,,,101,
40,Project Person,Peter,M,01/04/1989,Portland,OR,,69000,,,,,101,
41,Project Person,Robert,M,24/06/1996,Houston,TX,,42000,,,,,100,
42,Project Person,Steve,M,30/05/1992,San Francisco,CA,,58000,,,,,102,
43,Project Person,Tony,M,31/01/1991,San Francisco,CA,,80000,,,,,102,
44,Project Person,Vincent,M,12/05/1986,San Francisco,CA,,78000,,,,,102,
45,Project Person,William,M,17/07/1983,San Francisco,CA,,79000,,,,,102,
46,Project Person,Zachary,M,13/06/1984,Austin,TX,,25000,,,,,100,
